id,question,reference_answer,key_points,model_answer_offline
q01,Explain the difference between precision and recall.,Precision is the fraction of predicted positives that are actually positive. Recall is the fraction of actual positives that were correctly predicted. There is usually a trade-off between the two: raising the decision threshold tends to increase precision but decrease recall.,precision;recall;threshold,"Precision measures how many of the items flagged as positive really are positive, while recall measures how many of the real positives the model managed to catch. Raising the threshold usually pushes precision up and recall down, so you have to pick a balance for your use case."
q02,What is overfitting and how can you detect it?,"Overfitting happens when a model learns noise and specific patterns from the training data instead of the general underlying relationship, so it performs very well on training data but poorly on unseen data. It is detected by comparing training performance to validation/test performance: a large gap, with training performance much higher, indicates overfitting.",overfitting;training;validation,Overfitting is when a model memorizes the training set instead of learning generalizable patterns. You typically catch it by looking at the training loss versus the validation loss curves over time.
q03,What is the purpose of splitting data into training validation and test sets?,"Training data fits the model's parameters, validation data guides hyperparameter and model choices, and test data gives an unbiased estimate of how the final model generalizes to unseen data. The test set must not be used to make any decisions before the final evaluation.",training;validation;test,"We split the data into three parts so the model isn't just tested on the same data it was trained on: one set to learn from, one to tune settings, and one held out to check the final result."
q04,What is a confusion matrix and what does each cell represent?,"A confusion matrix is a table comparing predicted labels against actual labels. For a binary classifier it has four cells: true positives (correctly predicted positive), true negatives (correctly predicted negative), false positives (predicted positive but actually negative), and false negatives (predicted positive negative but actually positive).",confusion;positive;negative,"A confusion matrix shows how many predictions fell into each combination of predicted and actual class, so for binary classification you get four counts: correct positives, correct negatives, and the two kinds of mistakes."
q05,Why is the F1-score often preferred over accuracy for imbalanced datasets?,"F1-score is the harmonic mean of precision and recall, so it penalizes models that only do well on the majority class. Accuracy can be misleadingly high on imbalanced data because a model that always predicts the majority class still scores well, while F1 exposes poor performance on the minority class.",precision;recall;imbalance,"Accuracy can look great on imbalanced data just by predicting the majority class every time, which hides how badly the model handles the minority class. F1-score combines precision and recall so it reflects that weakness instead."
q06,What is data leakage in machine learning?,"Data leakage occurs when information that would not be available at prediction time (often information derived from the test or future data) ends up influencing model training, causing overly optimistic performance estimates that do not hold up in production.",leakage;training;evaluation,"Data leakage is when your model accidentally gets access to information during training that it wouldn't have in the real world, which makes your evaluation numbers look better than they actually are once deployed."
q07,What is the bias-variance trade-off?,"Bias is the error from overly simplistic assumptions in the model, causing underfitting. Variance is the error from excessive sensitivity to small fluctuations in the training data, causing overfitting. Reducing one often increases the other, so model selection seeks a balance that minimizes total error.",bias;variance;error,"High bias models are too simple and underfit the data, while high variance models are too sensitive to the training set and overfit. Improving one usually comes at some cost to the other, so you look for the sweet spot."
q08,What does the ROC-AUC metric measure?,"ROC-AUC measures the area under the Receiver Operating Characteristic curve, which plots the true positive rate against the false positive rate across all classification thresholds. An AUC of 1.0 means perfect separation between classes, while 0.5 means no better than random guessing.",auc;threshold;classifier,"ROC-AUC summarizes how well a classifier separates the two classes across every possible threshold, plotting true positive rate against false positive rate. A value of 1 is perfect and 0.5 is equivalent to random guessing."
q09,What is k-fold cross-validation and why is it used?,"K-fold cross-validation splits the dataset into k equal parts, trains the model k times using k-1 folds for training and the remaining fold for validation each time, then averages the results. It is used to get a more reliable estimate of model performance than a single train/validation split, especially with limited data.",fold;training;average,"K-fold cross-validation repeatedly splits the data into k chunks, using a different chunk for validation each round and the rest for training, then averages the scores. It gives a sturdier performance estimate than just one split, which matters when data is limited."
q10,What is class imbalance and why is it a problem for evaluation?,"Class imbalance is when one class has far more examples than another in a dataset. It is a problem for evaluation because metrics like accuracy can be dominated by the majority class, hiding poor performance on the minority class, which is often the class of greatest practical interest (e.g. fraud, disease).",imbalance;accuracy;minority,"Class imbalance means one label vastly outnumbers the other in the dataset. This matters for evaluation because standard accuracy will look fine even if the model completely fails on the rare, often more important, class."
q11,What is regularization and why is it used in machine learning?,"Regularization adds a penalty term to the model's loss function based on the size or complexity of its parameters, discouraging the model from fitting noise in the training data. It is used to reduce overfitting and improve generalization to unseen data.",regularization;complexity;generalization,"Regularization discourages a model from becoming too complex by adding a penalty related to the size of its weights, which helps prevent it from overfitting the training data and improves how well it generalizes."
q12,What is the difference between a validation set and a test set?,"A validation set is used during development to tune hyperparameters and make modeling decisions, and can be looked at repeatedly. A test set is used only once, at the very end, to estimate how the final chosen model will perform on unseen data, and should not influence any decisions made during development.",validation;test;final,"The validation set helps you make choices while building the model, like tuning hyperparameters, and can be reused during development. The test set is kept aside and only checked at the end, so it gives an honest read on how the final model will do."
